episode,total_reward,episode_length,reshuffles_performed,total_distance_reduced,total_time_saved,cubes_picked,success,algorithm,scenario,planner,seed,run_id
66,339.34764703856143,9,5,0.6491012993392995,1.298202598678599,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
67,-858.0872944864313,50,5,0.5391758658836405,1.078351731767281,6,0.6666666666666666,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
68,298.30493112448966,9,5,0.4263066627929728,0.8526133255859456,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
69,305.32473328439784,9,5,0.4927308581460287,0.9854617162920574,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
70,336.528620937671,9,5,0.7691122955533622,1.5382245911067245,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
71,331.37802082180303,9,5,1.5915313146322811,3.1830626292645623,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
72,249.81114491959005,9,5,0.3951770200096161,0.7903540400192322,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
73,346.44522142916776,9,5,0.6778515125172313,1.3557030250344626,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
74,338.8428983487421,9,5,0.6907958532231029,1.3815917064462058,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
75,339.22251961992856,9,5,1.1804905865531758,2.3609811731063517,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
76,336.4295359970919,9,5,1.0502079500015038,2.1004159000030076,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
77,-859.9409297255293,50,5,0.30904638552170205,0.6180927710434041,6,0.6666666666666666,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
78,345.93083354217026,9,5,0.66269342332459,1.32538684664918,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
79,327.5495394108539,9,5,0.809537603940266,1.619075207880532,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
80,-781.072493468203,50,5,0.9498297396240285,1.899659479248057,7,0.7777777777777778,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
81,-723.938828855197,50,5,0.7875739160118154,1.5751478320236307,8,0.8888888888888888,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
82,334.65059697423425,9,5,1.1397355504009168,2.2794711008018336,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
83,339.6992691511107,9,5,0.746112567478185,1.49222513495637,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
84,338.1813862840888,9,5,1.0878744247493795,2.175748849498759,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
85,-1070.049122693773,50,5,0.3716684271072408,0.7433368542144816,2,0.2222222222222222,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
