episode,model,reward,length,success,picks,start_time,seed,collisions,rrt_failures,pick_failures,successful_picks,unreachable_cubes,optimal_steps,total_cubes,duration,total_rrt_path_length,avg_rrt_path_length,total_rrt_optimal_path_length,avg_rrt_optimal_path_length,avg_rrt_planning_time,rrt_success_rate,unattempted_picks,path_efficiency,unique_actions,action_diversity_ratio,action_entropy
2,TD3,155.6632045265846,9,1,9,1767799694.5882246,3043,0,0,0,9,0,9,9,3.780078887939453,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,TD3,161.8835462321644,9,1,9,1767799698.3698058,3044,0,0,0,9,0,9,9,4.0135884284973145,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
4,TD3,143.07118844948107,9,1,9,1767799702.3838942,3045,0,0,0,9,0,9,9,8.982698678970337,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
5,TD3,162.75314522344283,9,1,9,1767799711.3681936,3046,0,0,0,9,0,9,9,6.392535924911499,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
6,TD3,168.91805317126511,9,1,9,1767799717.7622354,3047,0,0,0,9,0,9,9,4.520257949829102,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
7,TD3,159.77866611386307,9,1,9,1767799722.283492,3048,0,0,0,9,0,9,9,2.998645067214966,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,TD3,154.27572736242158,9,1,9,1767799725.283137,3049,0,0,0,9,0,9,9,6.0764758586883545,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
9,TD3,102.44128242188887,7,0,7,1767799731.360613,3050,0,0,2,7,2,9,9,157.16605973243713,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7,1.0,2.8073549210477178
10,TD3,136.51495326504482,9,1,9,1767799888.5305364,3051,0,0,0,9,0,9,9,8.440321207046509,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
1,PPO-Continuous,165.96071805262312,9,1,9,1767799897.0345173,4042,0,0,0,9,0,9,9,4.458524942398071,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,PPO-Continuous,184.357854215045,9,1,9,1767799901.494794,4043,0,0,0,9,0,9,9,8.218353986740112,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,PPO-Continuous,95.89825011974489,6,0,6,1767799909.7151597,4044,0,0,3,6,3,9,9,172.57734942436218,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,6,1.0,2.584962499855539
4,PPO-Continuous,151.6237770587233,9,1,9,1767800082.2940183,4045,0,0,0,9,0,9,9,3.8452367782592773,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
5,PPO-Continuous,162.26218716443952,8,0,8,1767800086.140255,4046,0,0,1,8,1,9,9,81.27062201499939,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
6,PPO-Continuous,144.468492408928,9,1,9,1767800167.4128711,4047,0,0,0,9,0,9,9,6.455049753189087,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
7,PPO-Continuous,135.3384891032801,9,1,9,1767800173.8689208,4048,0,0,0,9,0,9,9,3.5063974857330322,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,PPO-Continuous,150.5882299289848,9,1,9,1767800177.3768177,4049,0,0,0,9,0,9,9,2.3738162517547607,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
9,PPO-Continuous,156.51763444587442,9,1,9,1767800179.7516334,4050,0,0,0,9,0,9,9,5.624896764755249,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
10,PPO-Continuous,133.6821699426151,9,1,9,1767800185.37753,4051,0,0,0,9,0,9,9,5.1176438331604,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
1,SAC-Continuous,188.3658010560747,9,1,9,1767800190.5706224,5042,0,0,0,9,0,9,9,3.4657962322235107,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,SAC-Continuous,154.5956558461082,9,1,9,1767800194.0369177,5043,0,0,0,9,0,9,9,8.91883134841919,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,SAC-Continuous,199.63664913170854,9,1,9,1767800202.957749,5044,0,0,0,9,0,9,9,9.449780464172363,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
4,SAC-Continuous,163.2232772141291,9,1,9,1767800212.4355614,5045,0,0,0,9,0,9,9,2.394728422164917,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
5,SAC-Continuous,179.65841243474847,9,1,9,1767800214.8317876,5046,0,0,0,9,0,9,9,3.6097049713134766,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
6,SAC-Continuous,155.0500354159793,9,1,9,1767800218.4419925,5047,0,0,0,9,0,9,9,3.563955068588257,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
7,SAC-Continuous,174.57345837070116,9,1,9,1767800222.0069466,5048,0,0,0,9,0,9,9,2.725515604019165,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,SAC-Continuous,132.37296399217342,8,0,8,1767800224.7344654,5049,0,0,1,8,1,9,9,66.58839344978333,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
9,SAC-Continuous,147.4657563352558,9,1,9,1767800291.324462,5050,0,0,0,9,0,9,9,3.3092269897460938,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
10,SAC-Continuous,153.64815666107376,9,1,9,1767800294.6511998,5051,0,0,0,9,0,9,9,7.740339756011963,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
