step,episode,loss,step_reward,epsilon,q_value,episode_reward,episode_length,avg_reward_100,success_rate
243,40,,11.285548,1.000000,0.136246,39.353755,3,150.415871,1.000000
244,40,,17.599900,1.000000,-0.027314,56.953655,4,150.415871,1.000000
245,40,,27.170525,1.000000,-0.168042,84.124180,5,150.415871,1.000000
246,40,,59.527261,1.000000,-0.081096,143.651441,6,150.415871,1.000000
247,41,,-1.696406,1.000000,0.184533,-1.696406,1,150.250885,1.000000
248,41,,27.733870,1.000000,0.102149,26.037464,2,150.250885,1.000000
249,41,,31.083675,1.000000,-0.064998,57.121139,3,150.250885,1.000000
250,41,,13.639469,1.000000,-0.173050,70.760608,4,150.250885,1.000000
251,41,,22.923617,1.000000,-0.052982,93.684225,5,150.250885,1.000000
252,41,,62.007007,1.000000,-0.008832,155.691232,6,150.250885,1.000000
253,42,,17.860628,1.000000,-0.040842,17.860628,1,150.380417,1.000000
254,42,,21.504957,1.000000,0.216986,39.365585,2,150.380417,1.000000
255,42,,28.791806,1.000000,-0.053584,68.157391,3,150.380417,1.000000
256,42,,17.163498,1.000000,0.147366,85.320889,4,150.380417,1.000000
257,42,,21.331658,1.000000,-0.032119,106.652547,5,150.380417,1.000000
258,42,,64.584908,1.000000,-0.111758,171.237454,6,150.380417,1.000000
259,43,,26.514672,1.000000,0.176587,26.514672,1,150.865464,1.000000
260,43,,0.979744,1.000000,0.062555,27.494417,2,150.865464,1.000000
261,43,,15.989678,1.000000,-0.164083,43.484095,3,150.865464,1.000000
262,43,,1.695417,1.000000,-0.075713,45.179512,4,150.865464,1.000000
263,43,,6.985302,1.000000,-0.073325,52.164813,5,150.865464,1.000000
264,43,,50.888548,1.000000,0.202173,103.053361,6,150.865464,1.000000
265,44,,35.858721,1.000000,-0.086390,35.858721,1,149.778825,1.000000
266,44,,14.175325,1.000000,0.207364,50.034047,2,149.778825,1.000000
267,44,,12.286563,1.000000,-0.064329,62.320610,3,149.778825,1.000000
268,44,,9.107619,1.000000,-0.045593,71.428229,4,149.778825,1.000000
269,44,,22.359749,1.000000,-0.139023,93.787977,5,149.778825,1.000000
270,44,,61.560341,1.000000,0.149566,155.348318,6,149.778825,1.000000
271,45,,19.469724,1.000000,0.243488,19.469724,1,149.902592,1.000000
272,45,,6.869382,1.000000,0.142275,26.339106,2,149.902592,1.000000
273,45,,3.946798,1.000000,-0.012232,30.285904,3,149.902592,1.000000
274,45,,16.435044,1.000000,0.050750,46.720949,4,149.902592,1.000000
275,45,,31.362145,1.000000,-0.088599,78.083093,5,149.902592,1.000000
276,45,,58.164730,1.000000,-0.144791,136.247823,6,149.902592,1.000000
