episode,total_reward,length,success,avg_reward_100,success_rate_100
121,148.991984,6,1,151.876031,1.000000
122,100.553326,6,1,151.441190,1.000000
123,133.665900,6,1,151.327719,1.000000
124,152.591174,6,1,151.418392,1.000000
125,175.383097,6,1,151.768075,1.000000
126,184.653126,6,1,151.919716,1.000000
127,160.976453,6,1,151.913654,1.000000
128,166.195611,6,1,152.094733,1.000000
129,173.217808,6,1,152.551272,1.000000
130,150.058510,6,1,152.351239,1.000000
131,173.609044,6,1,152.887273,1.000000
132,159.588383,6,1,153.015206,1.000000
133,157.574069,6,1,153.181555,1.000000
134,178.186700,6,1,153.136073,1.000000
135,170.733435,6,1,153.300379,1.000000
136,132.740359,6,1,153.031029,1.000000
137,166.897219,6,1,153.156981,1.000000
138,131.925413,6,1,152.874212,1.000000
139,121.635166,6,1,152.983269,1.000000
140,170.644866,6,1,153.253204,1.000000
141,115.849222,6,1,152.854784,1.000000
142,161.525012,6,1,152.757659,1.000000
143,161.561317,6,1,153.342739,1.000000
144,165.836467,6,1,153.447620,1.000000
145,164.744994,6,1,153.732592,1.000000
146,158.799522,6,1,153.688459,1.000000
147,125.568797,6,1,153.539626,1.000000
148,161.549378,6,1,153.419616,1.000000
149,135.922363,6,1,153.369710,1.000000
150,105.443579,6,1,152.758414,1.000000
