step,episode,loss,step_reward,epsilon,q_value,episode_reward,episode_length,avg_reward_100,success_rate
116,19,,19.432894,1.000000,-0.068463,45.407750,2,126.579214,1.000000
117,19,,9.537961,1.000000,-0.055688,54.945710,3,126.579214,1.000000
118,19,,10.874857,1.000000,0.037496,65.820567,4,126.579214,1.000000
119,19,,25.206289,1.000000,-0.040452,91.026856,5,126.579214,1.000000
120,19,,50.139276,1.000000,-0.034597,141.166131,6,126.579214,1.000000
121,20,,10.855968,1.000000,-0.075212,10.855968,1,127.308560,1.000000
122,20,,11.160303,1.000000,0.232576,22.016271,2,127.308560,1.000000
123,20,,10.433978,1.000000,-0.091884,32.450249,3,127.308560,1.000000
124,20,,20.733231,1.000000,0.176479,53.183480,4,127.308560,1.000000
125,20,,15.938623,1.000000,0.004248,69.122103,5,127.308560,1.000000
126,20,,63.353741,1.000000,-0.130768,132.475844,6,127.308560,1.000000
127,21,,10.743038,1.000000,-0.142965,10.743038,1,127.554621,1.000000
128,21,,15.206575,1.000000,0.121043,25.949613,2,127.554621,1.000000
129,21,,20.215238,1.000000,-0.000669,46.164851,3,127.554621,1.000000
130,21,,25.253967,1.000000,0.206385,71.418818,4,127.554621,1.000000
131,21,,6.995706,1.000000,-0.018546,78.414523,5,127.554621,1.000000
132,21,,49.318196,1.000000,-0.127855,127.732719,6,127.554621,1.000000
133,22,,20.528102,1.000000,0.159245,20.528102,1,127.562716,1.000000
134,22,,0.168657,1.000000,0.019277,20.696759,2,127.562716,1.000000
135,22,,9.558020,1.000000,-0.148165,30.254779,3,127.562716,1.000000
136,22,,5.043624,1.000000,-0.023160,35.298403,4,127.562716,1.000000
137,22,,11.393779,1.000000,0.008620,46.692182,5,127.562716,1.000000
138,22,,55.684961,1.000000,0.145271,102.377143,6,127.562716,1.000000
139,23,,25.008813,1.000000,-0.041896,25.008813,1,126.467691,1.000000
140,23,,21.115438,1.000000,-0.016601,46.124252,2,126.467691,1.000000
141,23,,15.433259,1.000000,-0.130226,61.557510,3,126.467691,1.000000
142,23,,11.136771,1.000000,0.170274,72.694281,4,126.467691,1.000000
143,23,,11.412711,1.000000,0.162823,84.106992,5,126.467691,1.000000
144,23,,51.048718,1.000000,-0.058705,135.155710,6,126.467691,1.000000
145,24,,22.676372,1.000000,0.028581,22.676372,1,126.829692,1.000000
146,24,,8.095098,1.000000,0.128068,30.771470,2,126.829692,1.000000
147,24,,10.444412,1.000000,-0.109531,41.215882,3,126.829692,1.000000
148,24,,7.754648,1.000000,0.118002,48.970530,4,126.829692,1.000000
149,24,,20.767239,1.000000,-0.035312,69.737769,5,126.829692,1.000000
150,24,,52.477219,1.000000,-0.061799,122.214988,6,126.829692,1.000000
151,25,,12.174335,1.000000,-0.073515,12.174335,1,126.645104,1.000000
152,25,,1.070095,1.000000,0.021626,13.244430,2,126.645104,1.000000
153,25,,16.872197,1.000000,-0.089110,30.116627,3,126.645104,1.000000
154,25,,11.471546,1.000000,0.140102,41.588173,4,126.645104,1.000000
155,25,,17.460952,1.000000,-0.046670,59.049125,5,126.645104,1.000000
156,25,,58.639127,1.000000,0.146625,117.688252,6,126.645104,1.000000
157,26,,20.901793,1.000000,-0.112670,20.901793,1,126.300610,1.000000
158,26,,10.242137,1.000000,0.141790,31.143930,2,126.300610,1.000000
159,26,,15.257699,1.000000,-0.050908,46.401629,3,126.300610,1.000000
160,26,,6.862115,1.000000,-0.033075,53.263744,4,126.300610,1.000000
161,26,,11.382146,1.000000,0.099185,64.645890,5,126.300610,1.000000
162,26,,56.755322,1.000000,-0.092174,121.401212,6,126.300610,1.000000
163,27,,1.212455,1.000000,0.128969,1.212455,1,126.119150,1.000000
164,27,,10.780578,1.000000,-0.058925,11.993033,2,126.119150,1.000000
165,27,,8.075454,1.000000,-0.057393,20.068487,3,126.119150,1.000000
166,27,,11.410575,1.000000,0.059904,31.479062,4,126.119150,1.000000
167,27,,12.990763,1.000000,-0.057073,44.469826,5,126.119150,1.000000
168,27,,41.312151,1.000000,-0.162163,85.781977,6,126.119150,1.000000
169,28,,20.821549,1.000000,-0.129241,20.821549,1,124.678537,1.000000
170,28,,15.636531,1.000000,0.216233,36.458080,2,124.678537,1.000000
171,28,,19.247966,1.000000,0.020629,55.706047,3,124.678537,1.000000
172,28,,6.835360,1.000000,0.153029,62.541407,4,124.678537,1.000000
173,28,,7.333454,1.000000,-0.078088,69.874861,5,124.678537,1.000000
174,28,,52.439856,1.000000,-0.029613,122.314717,6,124.678537,1.000000
175,29,,8.558429,1.000000,-0.121897,8.558429,1,124.597026,1.000000
176,29,,12.038443,1.000000,0.110454,20.596872,2,124.597026,1.000000
177,29,,10.441662,1.000000,-0.019051,31.038534,3,124.597026,1.000000
178,29,,14.414820,1.000000,0.150792,45.453354,4,124.597026,1.000000
179,29,,20.122247,1.000000,-0.039749,65.575601,5,124.597026,1.000000
180,29,,59.426307,1.000000,-0.049753,125.001908,6,124.597026,1.000000
181,30,,8.059535,1.000000,-0.023108,8.059535,1,124.610522,1.000000
182,30,,20.075207,1.000000,-0.025600,28.134743,2,124.610522,1.000000
183,30,,26.018893,1.000000,-0.089171,54.153636,3,124.610522,1.000000
184,30,,1.058866,1.000000,0.153070,55.212502,4,124.610522,1.000000
185,30,,15.130174,1.000000,0.139240,70.342676,5,124.610522,1.000000
186,30,,51.034235,1.000000,-0.009026,121.376911,6,124.610522,1.000000
187,31,,0.797114,1.000000,0.008339,0.797114,1,124.506212,1.000000
188,31,,10.213937,1.000000,-0.166750,11.011051,2,124.506212,1.000000
189,31,,1.008526,1.000000,-0.005762,12.019577,3,124.506212,1.000000
190,31,,13.762963,1.000000,-0.094676,25.782540,4,124.506212,1.000000
191,31,,3.738129,1.000000,0.167561,29.520669,5,124.506212,1.000000
192,31,,53.601327,1.000000,0.164348,83.121997,6,124.506212,1.000000
193,32,,23.987747,1.000000,0.133343,23.987747,1,123.212955,1.000000
194,32,,15.711331,1.000000,0.191277,39.699078,2,123.212955,1.000000
195,32,,1.317050,1.000000,-0.185163,41.016128,3,123.212955,1.000000
