step,episode,loss,step_reward,epsilon,q_value,episode_reward,episode_length,avg_reward_100,success_rate
174,19,,8.246779,1.000000,-0.115536,30.403146,3,139.925373,1.000000
175,19,,7.916115,1.000000,-0.180913,38.319261,4,139.925373,1.000000
176,19,,16.462942,1.000000,0.071884,54.782203,5,139.925373,1.000000
177,19,,7.416547,1.000000,0.141862,62.198750,6,139.925373,1.000000
178,19,,7.452126,1.000000,0.100770,69.650876,7,139.925373,1.000000
179,19,,18.752833,1.000000,-0.188646,88.403708,8,139.925373,1.000000
180,19,,56.139414,1.000000,0.001838,144.543122,9,139.925373,1.000000
181,20,,15.403004,1.000000,0.165221,15.403004,1,140.156260,1.000000
182,20,,7.416547,1.000000,0.213186,22.819550,2,140.156260,1.000000
183,20,,7.452126,1.000000,0.075758,30.271676,3,140.156260,1.000000
184,20,,9.734881,1.000000,-0.190794,40.006557,4,140.156260,1.000000
185,20,,8.845826,1.000000,-0.136437,48.852383,5,140.156260,1.000000
186,20,,16.547582,1.000000,0.066998,65.399965,6,140.156260,1.000000
187,20,,18.836018,1.000000,0.097523,84.235983,7,140.156260,1.000000
188,20,,4.184090,1.000000,0.018395,88.420073,8,140.156260,1.000000
189,20,,60.416115,1.000000,-0.125907,148.836188,9,140.156260,1.000000
190,21,,15.403004,1.000000,0.165221,15.403004,1,140.569590,1.000000
191,21,,9.734881,1.000000,-0.199531,25.137885,2,140.569590,1.000000
192,21,,6.753363,1.000000,0.003048,31.891249,3,140.569590,1.000000
193,21,,8.246779,1.000000,-0.095581,40.138028,4,140.569590,1.000000
194,21,,16.462942,1.000000,0.070646,56.600970,5,140.569590,1.000000
195,21,,7.916115,1.000000,-0.155582,64.517085,6,140.569590,1.000000
196,21,,7.452126,1.000000,0.097614,71.969210,7,140.569590,1.000000
197,21,,15.639414,1.000000,0.006352,87.608625,8,140.569590,1.000000
198,21,,59.916547,1.000000,0.221169,147.525171,9,140.569590,1.000000
199,22,,15.403004,1.000000,0.165221,15.403004,1,140.885753,1.000000
200,22,,6.753363,1.000000,0.000368,22.156367,2,140.885753,1.000000
201,22,,7.416547,1.000000,0.197613,29.572914,3,140.885753,1.000000
202,22,,3.639414,1.000000,0.005070,33.212328,4,140.885753,1.000000
203,22,,7.916115,1.000000,-0.135735,41.128442,5,140.885753,1.000000
204,22,,9.734881,1.000000,-0.220083,50.863324,6,140.885753,1.000000
205,22,,7.452126,1.000000,0.082430,58.315450,7,140.885753,1.000000
206,22,,9.307463,1.000000,-0.129337,67.622913,8,140.885753,1.000000
207,22,,59.336018,1.000000,0.123803,126.958931,9,140.885753,1.000000
208,23,,15.403004,1.000000,0.165221,15.403004,1,140.280239,1.000000
209,23,,7.416547,1.000000,0.213186,22.819550,2,140.280239,1.000000
210,23,,7.916115,1.000000,-0.145151,30.735665,3,140.280239,1.000000
211,23,,3.639414,1.000000,0.001110,34.375079,4,140.280239,1.000000
212,23,,7.896702,1.000000,0.058128,42.271781,5,140.280239,1.000000
213,23,,9.734881,1.000000,-0.188108,52.006663,6,140.280239,1.000000
214,23,,8.246779,1.000000,-0.027269,60.253442,7,140.280239,1.000000
215,23,,18.753363,1.000000,-0.008387,79.006805,8,140.280239,1.000000
216,23,,59.952126,1.000000,0.074716,138.958931,9,140.280239,1.000000
217,24,,15.403004,1.000000,0.165221,15.403004,1,140.225185,1.000000
218,24,,7.916115,1.000000,-0.141998,23.319118,2,140.225185,1.000000
219,24,,7.896702,1.000000,0.020952,31.215820,3,140.225185,1.000000
220,24,,7.452126,1.000000,0.104738,38.667946,4,140.225185,1.000000
