episode,total_reward,length,success,avg_reward_100,success_rate_100
471,139.255422,6,1,137.989518,1.000000
472,133.589580,6,1,137.932860,1.000000
473,139.255422,6,1,137.991014,1.000000
474,139.255422,6,1,137.992509,1.000000
475,139.255422,6,1,137.992509,1.000000
476,139.255422,6,1,137.992509,1.000000
477,129.870034,6,1,137.900151,1.000000
478,130.019593,6,1,137.809288,1.000000
479,139.105863,6,1,137.809288,1.000000
480,130.019593,6,1,137.718426,1.000000
481,139.105863,6,1,137.718426,1.000000
482,139.255422,6,1,137.718426,1.000000
483,139.105863,6,1,137.718426,1.000000
484,130.019593,6,1,137.684221,1.000000
485,139.105863,6,1,137.682726,1.000000
486,133.589580,6,1,137.627563,1.000000
487,139.105863,6,1,137.627563,1.000000
488,139.255422,6,1,137.684221,1.000000
489,130.019593,6,1,137.593359,1.000000
490,139.105863,6,1,137.593359,1.000000
491,139.105863,6,1,137.591863,1.000000
492,139.105863,6,1,137.590367,1.000000
493,139.255422,6,1,137.591863,1.000000
494,133.540936,6,1,137.536214,1.000000
495,129.870034,6,1,137.443855,1.000000
496,139.105863,6,1,137.443855,1.000000
497,139.255422,6,1,137.445351,1.000000
498,139.255422,6,1,137.445351,1.000000
499,129.870034,6,1,137.351497,1.000000
500,139.105863,6,1,137.443855,1.000000
501,139.255422,6,1,137.536214,1.000000
502,139.255422,6,1,137.630068,1.000000
503,133.440021,6,1,137.630068,1.000000
504,130.019593,6,1,137.537709,1.000000
505,139.105863,6,1,137.536214,1.000000
506,139.255422,6,1,137.537709,1.000000
507,139.105863,6,1,137.592872,1.000000
508,139.255422,6,1,137.592872,1.000000
509,139.255422,6,1,137.594368,1.000000
510,139.105863,6,1,137.594368,1.000000
511,139.255422,6,1,137.594368,1.000000
512,139.105863,6,1,137.686726,1.000000
513,130.019593,6,1,137.594368,1.000000
514,139.255422,6,1,137.594368,1.000000
515,139.105863,6,1,137.594368,1.000000
516,139.255422,6,1,137.595863,1.000000
517,130.019593,6,1,137.505001,1.000000
518,139.255422,6,1,137.505001,1.000000
519,139.255422,6,1,137.562146,1.000000
520,139.105863,6,1,137.560650,1.000000
521,139.255422,6,1,137.560650,1.000000
522,129.870034,6,1,137.468292,1.000000
523,139.105863,6,1,137.466796,1.000000
524,139.105863,6,1,137.466796,1.000000
525,139.255422,6,1,137.466796,1.000000
526,139.105863,6,1,137.465300,1.000000
527,139.255422,6,1,137.559154,1.000000
528,139.255422,6,1,137.560650,1.000000
529,139.105863,6,1,137.651513,1.000000
