step,episode,loss_ddqn,loss_masac,loss_cvd,q_value_ddqn,q_overestimation_ddqn,epsilon_ddqn,epsilon_masac,reward_total,reward_agent1,reward_agent2,episode_reward,episode_length,episode_reshuffles,cubes_picked,avg_reward_100,success_rate
205,22,,,,0.091149,-50.642841,0.357875,0.178938,50.733990,9.733990,41.000000,107.692818,2,2,2,265.510961,0.973545
206,22,,,,0.111903,-8.273053,0.356086,0.178043,8.384956,8.384956,0.000000,116.077774,3,3,3,265.510961,0.973545
207,22,,,,0.105484,-2.050189,0.354305,0.177153,2.155674,7.155674,-5.000000,118.233448,4,4,4,265.510961,0.973545
208,22,,,,0.114377,-3.154336,0.352534,0.176267,3.268713,8.268713,-5.000000,121.502161,5,5,5,265.510961,0.973545
209,22,,,,0.074840,-15.278262,0.350771,0.175386,15.353102,15.353102,0.000000,136.855263,6,5,6,265.510961,0.973545
210,22,,,,0.079332,-24.600147,0.349017,0.174509,24.679479,24.679479,0.000000,161.534742,7,5,7,265.510961,0.973545
211,22,,,,0.110562,-6.896065,0.347272,0.173636,7.006627,7.006627,0.000000,168.541369,8,5,8,265.510961,0.973545
212,22,,,,0.035253,-60.521503,0.345536,0.172768,60.556756,60.556756,0.000000,229.098125,9,5,9,265.510961,0.973545
213,23,,,,0.065920,-52.382394,0.343808,0.171904,52.448314,13.296055,39.152259,52.448314,1,1,1,263.855832,0.974747
214,23,,,,0.063919,35.063919,0.342089,0.171045,-35.000000,-25.000000,-10.000000,17.448314,2,2,1,263.855832,0.974747
215,23,,,,0.078430,-18.051619,0.340379,0.170189,18.130049,18.130049,0.000000,35.578363,3,2,2,263.855832,0.974747
216,23,,,,0.042353,-18.445614,0.338677,0.169338,18.487967,-25.000000,43.487967,54.066330,4,3,2,263.855832,0.974747
217,23,,,,0.036850,-56.093020,0.336983,0.168492,56.129870,16.592476,39.537395,110.196201,5,4,3,263.855832,0.974747
218,23,,,,0.042327,-47.926307,0.335298,0.167649,47.968635,8.036135,39.932500,158.164835,6,5,4,263.855832,0.974747
219,23,,,,0.075083,25.075083,0.333622,0.166811,-25.000000,-25.000000,0.000000,133.164835,7,5,4,263.855832,0.974747
220,23,,,,0.059246,25.059246,0.331954,0.165977,-25.000000,-25.000000,0.000000,108.164835,8,5,4,263.855832,0.974747
221,23,,,,0.031010,25.031010,0.330294,0.165147,-25.000000,-25.000000,0.000000,83.164835,9,5,4,263.855832,0.974747
222,23,,,,0.100109,-18.321183,0.328643,0.164321,18.421292,18.421292,0.000000,101.586128,10,5,5,263.855832,0.974747
223,23,,,,0.076769,25.076769,0.326999,0.163500,-25.000000,-25.000000,0.000000,76.586128,11,5,5,263.855832,0.974747
224,23,,,,0.145181,-7.480985,0.325364,0.162682,7.626166,7.626166,0.000000,84.212294,12,5,6,263.855832,0.974747
225,23,,,,0.093881,25.093881,0.323738,0.161869,-25.000000,-25.000000,0.000000,59.212294,13,5,6,263.855832,0.974747
226,23,,,,0.071717,25.071717,0.322119,0.161059,-25.000000,-25.000000,0.000000,34.212294,14,5,6,263.855832,0.974747
