episode,total_reward,reward_agent1_total,reward_agent2_total,length,cubes_picked,success,reshuffles,distance_reduced,time_saved,avg_q_value,avg_q_overestimation,avg_reward_100,success_rate_100
139,195.544471,134.519842,61.024629,9,9,1.000000,5,0.262314,0.524629,189.647940,167.920776,104.419367,0.941111
140,277.090027,163.255557,113.834470,9,9,1.000000,5,-0.332765,-0.665530,177.792065,147.004284,105.615318,0.941111
141,323.470201,162.875352,160.594849,9,9,1.000000,5,0.547424,1.094849,193.402554,157.461420,105.931042,0.941111
142,249.935330,139.068498,110.866832,9,9,1.000000,5,0.433416,0.866832,168.802094,141.031501,106.059648,0.941111
143,253.991243,144.750831,109.240412,9,9,1.000000,5,0.370206,0.740412,206.835309,178.614060,107.373920,0.942222
144,-902.510480,-981.996558,79.486078,50,7,0.777778,5,0.243039,0.486078,165.713295,183.763505,95.597042,0.941111
145,173.999845,153.000901,20.998944,9,9,1.000000,5,-0.000528,-0.001056,196.336093,177.002777,94.704668,0.941111
146,-82.958589,-287.992781,205.034192,25,8,0.888889,5,0.017096,0.034192,177.191956,180.510299,90.477476,0.940000
147,96.648233,-13.494793,110.143026,13,8,0.888889,5,0.071513,0.143026,185.081569,177.647089,89.101327,0.938889
148,198.884236,138.394554,60.489682,9,9,1.000000,5,-0.005159,-0.010318,184.134916,162.036667,88.675297,0.938889
149,297.892471,135.128247,162.764224,9,9,1.000000,5,0.132112,0.264224,181.948972,148.849809,89.382357,0.938889
150,-879.959279,-1000.748227,120.788948,50,6,0.666667,5,-0.355526,-0.711052,170.330943,187.930129,78.109571,0.935556
151,-380.430696,-503.869028,123.438332,33,8,0.888889,5,-0.530834,-1.061668,181.170022,192.698225,73.040556,0.935556
152,343.924762,140.795614,203.129148,9,9,1.000000,5,-0.185426,-0.370852,217.766284,179.552421,73.778143,0.935556
153,298.277140,147.319267,150.957873,9,9,1.000000,5,0.728937,1.457873,219.769114,186.627209,74.008506,0.935556
154,253.161979,143.408069,109.753910,9,9,1.000000,5,-0.123045,-0.246090,186.233669,158.104560,73.036801,0.935556
155,236.336412,125.999874,110.336539,9,9,1.000000,5,0.168269,0.336539,213.194590,186.934989,73.552750,0.936667
156,300.453850,146.182591,154.271259,9,9,1.000000,5,0.135629,0.271259,226.126706,192.742945,73.657410,0.936667
157,253.636847,130.367885,123.268962,9,9,1.000000,5,0.134481,0.268962,208.300348,180.118476,84.672718,0.938889
158,217.599004,148.478743,69.120261,9,9,1.000000,5,0.060131,0.120261,206.081743,181.904076,83.895547,0.938889
159,266.146433,115.696460,150.449973,10,9,1.000000,5,0.474986,0.949973,217.718481,191.103837,83.582882,0.938889
160,-302.883117,-403.303379,100.420262,29,8,0.888889,5,0.210131,0.420262,182.811861,193.256106,77.593730,0.937778
161,139.135531,27.786034,111.349497,12,8,0.888889,5,-0.075252,-0.150503,213.351850,201.757222,76.451376,0.936667
162,265.422696,149.173248,116.249448,9,9,1.000000,5,-0.125276,-0.250552,202.516460,173.025049,76.819870,0.936667
163,-907.275797,-976.301963,69.026166,50,7,0.777778,5,0.013083,0.026166,199.627018,217.772533,65.200498,0.934444
164,270.103317,146.884816,123.218501,9,9,1.000000,5,-0.390750,-0.781499,212.696134,182.684654,65.798943,0.935556
165,237.456214,157.062336,80.393878,9,9,1.000000,5,-0.053061,-0.106122,195.123612,168.739589,65.060635,0.935556
166,210.117963,129.916932,80.201031,9,9,1.000000,5,-0.149484,-0.298969,203.558107,180.211666,64.316855,0.935556
167,-828.916044,-994.471131,165.555086,50,7,0.777778,5,-0.472457,-0.944914,197.964868,214.543189,53.073765,0.933333
168,-102.085628,-202.885919,100.800291,21,8,0.888889,5,-0.349855,-0.699709,219.087290,223.948510,49.573136,0.932222
169,349.366839,146.697626,202.669213,9,9,1.000000,5,-0.415394,-0.830787,225.542507,186.723969,51.282426,0.933333
170,289.402901,138.494250,150.908651,9,9,1.000000,5,-0.045674,-0.091349,215.852000,183.696122,52.100086,0.933333
171,197.647595,135.990158,61.657437,9,9,1.000000,5,-0.171282,-0.342563,229.888821,207.927978,62.369137,0.935556
172,327.532433,167.418599,160.113834,9,9,1.000000,5,0.306917,0.613834,224.605812,188.213320,63.520120,0.935556
173,-928.600615,-1029.167636,100.567020,50,6,0.666667,5,0.283510,0.567020,222.095838,240.667851,51.570156,0.933333
174,301.028043,147.951741,153.076302,9,9,1.000000,5,0.288151,0.576302,222.094329,188.646769,52.315368,0.933333
175,-903.646671,-963.096990,59.450319,50,7,0.777778,5,0.725160,1.450319,213.560253,231.633187,52.551821,0.935556
176,344.240596,136.480542,207.760054,10,9,1.000000,5,-0.119973,-0.239946,222.977075,188.553016,53.392857,0.935556
177,-856.299778,-970.948857,114.649079,50,7,0.777778,5,0.074539,0.149079,208.802738,225.928733,43.085419,0.934444
178,157.300181,44.838975,112.461206,11,8,0.888889,5,-0.269397,-0.538794,228.141660,213.841643,41.626053,0.933333
179,304.506473,141.081903,163.424570,9,9,1.000000,5,-0.287715,-0.575430,229.324516,195.490463,41.579378,0.933333
180,255.508436,142.533193,112.975243,9,9,1.000000,5,-0.012378,-0.024757,266.387227,237.997401,41.639079,0.933333
181,211.413846,150.622313,60.791533,9,9,1.000000,5,0.145766,0.291533,275.137338,251.646910,41.772089,0.933333
182,100.856609,-59.659926,160.516535,16,8,0.888889,5,-0.241732,-0.483465,254.357404,248.053866,39.837068,0.933333
183,278.790631,126.848455,151.942176,9,9,1.000000,5,0.471088,0.942176,251.635453,220.658716,40.396347,0.933333
184,-895.010127,-1009.829437,114.819310,50,6,0.666667,5,-0.090345,-0.180690,234.883007,252.783209,28.311822,0.930000
185,230.199636,156.314271,73.885366,9,9,1.000000,5,0.192683,0.385366,254.560342,228.982604,29.376101,0.931111
186,239.223940,115.158276,124.065663,9,9,1.000000,5,-0.217168,-0.434337,260.785698,234.205260,31.027240,0.933333
187,289.914123,139.397688,150.516435,9,9,1.000000,5,0.508218,1.016435,272.402174,240.189494,31.909640,0.933333
188,323.285008,158.113944,165.171064,9,9,1.000000,5,0.585532,1.171064,240.020250,204.099694,32.548218,0.933333
189,259.797347,146.860984,112.936363,9,9,1.000000,5,-0.031818,-0.063637,271.059091,242.192719,42.954374,0.935556
190,287.113430,135.409084,151.704346,9,9,1.000000,5,0.352173,0.704346,258.017508,226.116016,42.846122,0.935556
191,242.620700,161.936861,80.683839,9,9,1.000000,5,0.091920,0.183839,244.937524,217.979669,44.123990,0.936667
192,-32.674579,-146.464884,113.790305,18,8,0.888889,5,-0.354847,-0.709695,257.869001,259.684255,40.890085,0.935556
193,-345.306312,-506.680089,161.373777,33,8,0.888889,5,0.186888,0.373777,242.974044,253.437872,45.657930,0.936667
194,211.859363,141.755446,70.103917,9,9,1.000000,5,-0.198042,-0.396083,248.033566,224.493637,45.836040,0.936667
195,286.880789,130.763077,156.117712,9,9,1.000000,5,-0.441144,-0.882288,259.803486,227.927843,48.229985,0.937778
196,-206.989443,-318.303500,111.314057,26,8,0.888889,5,-0.092972,-0.185943,251.524284,259.485417,45.126811,0.937778
197,221.965677,162.735686,59.229991,9,9,1.000000,5,0.114996,0.229991,269.075985,244.413131,44.099871,0.937778
198,216.803493,126.774754,90.028739,9,9,1.000000,5,0.014369,0.028739,271.480132,247.390855,45.745900,0.938889
199,265.028635,109.130743,155.897892,10,9,1.000000,5,-0.551054,-1.102108,269.732123,243.229259,45.911640,0.938889
200,-913.373214,-987.446560,74.073346,50,7,0.777778,5,-0.463327,-0.926654,252.099131,270.366596,34.987504,0.936667
201,257.707729,137.184726,120.523004,9,9,1.000000,5,0.261502,0.523004,280.791537,252.157345,41.003615,0.937778
202,314.205533,162.444071,151.761462,9,9,1.000000,5,0.380731,0.761462,277.059273,242.147547,41.084735,0.937778
203,242.738971,87.793055,154.945916,11,9,1.000000,5,-0.277042,-0.554084,281.094063,259.026884,40.886427,0.937778
204,206.483305,145.525300,60.958005,9,9,1.000000,5,0.229003,0.458005,281.930094,258.987505,41.349839,0.938889
205,252.936191,151.064121,101.872070,9,9,1.000000,5,0.186035,0.372070,275.451686,247.347664,41.375817,0.938889
206,251.943454,140.707613,111.235841,9,9,1.000000,5,-0.132079,-0.264159,275.367454,247.373737,45.308828,0.940000
207,261.998113,151.436084,110.562029,9,9,1.000000,5,-0.468985,-0.937971,277.344856,248.233955,46.673243,0.941111
208,312.977000,159.668029,153.308971,9,9,1.000000,5,0.404485,0.808971,280.918531,246.143309,46.862113,0.941111
209,247.118147,135.707276,111.410871,9,9,1.000000,5,0.705435,1.410871,290.108135,262.650563,49.363813,0.942222
210,130.109255,119.937508,10.171748,9,9,1.000000,5,0.335874,0.671748,285.218094,270.761510,48.107746,0.942222
211,208.069760,135.095627,72.974133,9,9,1.000000,5,-0.262933,-0.525867,285.027861,261.908999,48.267101,0.943333
212,237.350109,126.722199,110.627910,9,9,1.000000,5,-0.436045,-0.872090,279.831537,253.459303,48.480905,0.944444
213,198.618946,138.215265,60.403681,9,9,1.000000,5,0.701840,1.403681,297.454547,275.385775,47.924759,0.944444
214,272.111338,167.896537,104.214801,9,9,1.000000,5,-0.142599,-0.285199,280.504124,250.269531,48.105831,0.944444
215,-81.866674,-241.416178,159.549504,22,8,0.888889,5,0.024752,0.049504,260.439182,264.160394,44.882467,0.944444
216,194.510597,132.926139,61.584458,9,9,1.000000,5,-0.207771,-0.415542,278.716595,257.104307,45.512377,0.945556
217,-28.301019,-181.171138,152.870119,18,7,0.777778,5,-0.564941,-1.129881,278.360545,279.932824,43.134698,0.943333
218,243.422306,127.373140,116.049166,9,9,1.000000,5,-0.225417,-0.450834,284.922760,257.875838,42.509063,0.943333
219,237.935990,133.944962,103.991028,9,9,1.000000,5,-0.254486,-0.508972,279.014738,252.577406,53.150409,0.945556
220,-973.374916,-1024.104764,50.729848,50,6,0.666667,5,0.114924,0.229848,284.535977,304.003475,41.517103,0.943333
221,206.346654,145.231856,61.114798,9,9,1.000000,5,0.307399,0.614798,285.836142,262.908736,41.209831,0.943333
222,325.074556,171.175002,153.899554,9,9,1.000000,5,1.199777,2.399554,302.262978,266.143583,42.990623,0.944444
223,289.403163,128.360847,161.042315,9,9,1.000000,5,0.021158,0.042315,293.190084,261.034177,42.867619,0.944444
224,176.552454,136.733308,39.819146,9,9,1.000000,5,0.409573,0.819146,284.339968,264.723029,53.364169,0.947778
225,340.925080,133.303783,207.621297,9,9,1.000000,5,-0.189352,-0.378703,295.365952,257.485387,65.405022,0.951111
226,23.220676,-88.193265,111.413940,16,8,0.888889,5,-0.043030,-0.086060,281.606730,280.155437,62.409222,0.950000
227,256.333904,146.299723,110.034180,9,9,1.000000,5,0.017090,0.034180,290.586515,262.104970,62.177559,0.950000
228,-868.345876,-1022.019432,153.673556,50,6,0.666667,5,-0.913222,-1.826444,296.644556,314.011473,50.290557,0.946667
229,215.633348,135.083401,80.549947,9,9,1.000000,5,0.274973,0.549947,301.473480,277.514219,49.547602,0.946667
230,-401.146496,-524.901097,123.754601,33,8,0.888889,5,-0.372700,-0.745399,309.808933,321.964888,42.885835,0.945556
