episode,model,seed,agent1_reward,success,cubes_picked,pick_failures,successful_picks,unreachable_cubes,path_efficiency,action_entropy,agent2_reward,reshuffles_performed,total_distance_reduced,total_time_saved,total_reward,episode_length,duration,timestamp,planner,grid_size,num_cubes
11,TD3+MASAC,42,-464.87843268007356,False,1,0,1,8,1.0,0.0,191.66372962866805,5,1.081864814334032,2.163729628668064,-273.2147030514055,50,1.4352726936340332,2026-01-19T04:50:17.847768,Isaac Sim RRT,4,9
12,TD3+MASAC,42,-464.4198025203783,False,1,0,1,8,1.0,0.0,191.04040430645773,5,1.5202021532288712,3.0404043064577424,-273.3793982139206,50,1.396998405456543,2026-01-19T04:50:19.276818,Isaac Sim RRT,4,9
13,TD3+MASAC,42,-464.8890832655889,False,1,0,1,8,1.0,0.0,201.0622307306404,5,0.28111536532021075,0.5622307306404215,-263.8268525349485,50,1.4450948238372803,2026-01-19T04:50:20.773519,Isaac Sim RRT,4,9
14,TD3+MASAC,42,-464.529376301401,False,1,0,1,8,1.0,0.0,201.02155026255798,5,1.0107751312789968,2.0215502625579935,-263.507826038843,50,1.464094638824463,2026-01-19T04:50:22.308131,Isaac Sim RRT,4,9
15,TD3+MASAC,42,-463.5223272314731,False,1,0,1,8,1.0,0.0,192.23346905781048,5,1.3667345289052455,2.733469057810491,-271.2888581736627,50,1.415369987487793,2026-01-19T04:50:23.772668,Isaac Sim RRT,4,9
16,TD3+MASAC,42,-464.6977166961127,False,1,0,1,8,1.0,0.0,201.99894361812568,5,0.7494718090628394,1.4989436181256788,-262.6987730779871,50,1.327101469039917,2026-01-19T04:50:25.144392,Isaac Sim RRT,4,9
17,TD3+MASAC,42,-464.76222825333883,False,1,0,1,8,1.0,0.0,204.6567470663973,5,0.5783735331986453,1.1567470663972905,-260.1054811869416,50,1.2151293754577637,2026-01-19T04:50:26.397124,Isaac Sim RRT,4,9
18,TD3+MASAC,42,-464.8849806077395,False,1,0,1,8,1.0,0.0,201.0987982994194,5,1.0493991497097066,2.098798299419413,-263.7861823083201,50,1.3141493797302246,2026-01-19T04:50:27.744836,Isaac Sim RRT,4,9
19,TD3+MASAC,42,-463.5672172101082,False,1,0,1,8,1.0,0.0,201.70654692708206,5,0.603273463541036,1.206546927082072,-261.86067028302614,50,1.3405110836029053,2026-01-19T04:50:29.127103,Isaac Sim RRT,4,9
20,TD3+MASAC,42,-463.59910696276654,False,1,0,1,8,1.0,0.0,200.30574294822551,5,0.6528714741127666,1.3057429482255332,-263.293364014541,50,1.1981751918792725,2026-01-19T04:50:30.370992,Isaac Sim RRT,4,9
1,PPO-Continuous+MASAC,42,-472.9879527389741,False,1,0,1,8,1.0,0.0,199.2940084625993,5,0.8970042312996562,1.7940084625993125,-273.69394427637485,50,1.3844540119171143,2026-01-19T04:50:32.713079,Isaac Sim RRT,4,9
2,PPO-Continuous+MASAC,42,-472.9933728632287,False,1,0,1,8,1.0,0.0,204.60127070443966,5,0.5506353522198375,1.101270704439675,-268.3921021587891,50,1.3516244888305664,2026-01-19T04:50:34.113862,Isaac Sim RRT,4,9
3,PPO-Continuous+MASAC,42,-472.4565407981534,False,1,0,1,8,1.0,0.0,201.65871467648697,5,0.5793573382434896,1.1587146764869791,-270.79782612166645,50,1.4157793521881104,2026-01-19T04:50:35.579268,Isaac Sim RRT,4,9
4,PPO-Continuous+MASAC,42,-472.8814080382916,False,1,0,1,8,1.0,0.0,200.95663812218856,5,0.9783190610942891,1.9566381221885782,-271.92476991610306,50,1.3175582885742188,2026-01-19T04:50:36.943978,Isaac Sim RRT,4,9
5,PPO-Continuous+MASAC,42,-532.9933728632287,False,1,0,1,8,1.0,0.0,202.39002736865234,5,0.9450136843261769,1.8900273686523539,-330.6033454945764,50,9.959172248840332,2026-01-19T04:50:46.947271,Isaac Sim RRT,4,9
6,PPO-Continuous+MASAC,42,-472.3857334284209,False,1,0,1,8,1.0,0.0,201.33725824414444,5,1.168629122072225,2.33725824414445,-271.04847518427647,50,1.361623764038086,2026-01-19T04:50:48.379490,Isaac Sim RRT,4,9
7,PPO-Continuous+MASAC,42,-471.8016349327148,False,1,0,1,8,1.0,0.0,201.45897611437988,5,1.2294880571899465,2.458976114379893,-270.34265881833494,50,1.3581786155700684,2026-01-19T04:50:49.757735,Isaac Sim RRT,4,9
8,PPO-Continuous+MASAC,42,-472.9933728632287,False,1,0,1,8,1.0,0.0,204.58496728437282,5,0.5424836421864208,1.0849672843728415,-268.40840557885593,50,1.401949167251587,2026-01-19T04:50:51.210804,Isaac Sim RRT,4,9
9,PPO-Continuous+MASAC,42,-472.8559409608548,False,1,0,1,8,1.0,0.0,201.80758758841705,5,1.4037937942085317,2.8075875884170634,-271.04835337243776,50,1.4064481258392334,2026-01-19T04:50:52.660860,Isaac Sim RRT,4,9
10,PPO-Continuous+MASAC,42,-472.3698747677896,False,1,0,1,8,1.0,0.0,200.02261772649624,5,1.2613088632481273,2.5226177264962546,-272.3472570412934,50,1.3589751720428467,2026-01-19T04:50:54.061960,Isaac Sim RRT,4,9
11,PPO-Continuous+MASAC,42,-474.89947032642414,False,1,0,1,8,1.0,0.0,201.86383178292465,5,0.6819158914623311,1.3638317829246622,-273.0356385434995,50,1.4482364654541016,2026-01-19T04:50:55.554299,Isaac Sim RRT,4,9
12,PPO-Continuous+MASAC,42,-472.76645521077546,False,1,0,1,8,1.0,0.0,203.47339876948547,5,0.7366993847427419,1.4733987694854838,-269.29305644129,50,1.3280150890350342,2026-01-19T04:50:56.924757,Isaac Sim RRT,4,9
13,PPO-Continuous+MASAC,42,-472.08228377591615,False,1,0,1,8,1.0,0.0,201.75569483100128,5,0.6278474155006459,1.2556948310012919,-270.3265889449149,50,1.4191758632659912,2026-01-19T04:50:58.378492,Isaac Sim RRT,4,9
14,PPO-Continuous+MASAC,42,-472.9121821544504,False,1,0,1,8,1.0,0.0,203.29920479117584,5,0.6496023955879262,1.2992047911758524,-269.6129773632746,50,1.3596618175506592,2026-01-19T04:50:59.791692,Isaac Sim RRT,4,9
15,PPO-Continuous+MASAC,42,-463.3572404936711,False,1,0,1,8,1.0,0.0,181.0524668341751,5,1.02623341708756,2.05246683417512,-282.304773659496,50,1.3617408275604248,2026-01-19T04:51:01.191036,Isaac Sim RRT,4,9
16,PPO-Continuous+MASAC,42,-472.9933728632287,False,1,0,1,8,1.0,0.0,203.14993264733505,5,0.5749663236675313,1.1499326473350626,-269.8434402158937,50,1.3955066204071045,2026-01-19T04:51:02.628856,Isaac Sim RRT,4,9
17,PPO-Continuous+MASAC,42,-472.8253370417681,False,1,0,1,8,1.0,0.0,181.36558165608596,5,1.182790828042989,2.365581656085978,-291.45975538568206,50,1.2566313743591309,2026-01-19T04:51:03.904408,Isaac Sim RRT,4,9
18,PPO-Continuous+MASAC,42,-472.47088218075487,False,1,0,1,8,1.0,0.0,201.42478045283508,5,1.2123902264175466,2.424780452835093,-271.0461017279198,50,1.3728692531585693,2026-01-19T04:51:05.309323,Isaac Sim RRT,4,9
19,PPO-Continuous+MASAC,42,-465.0710354481804,False,1,0,1,8,1.0,0.0,182.42888131200027,5,0.9644406560001424,1.9288813120002848,-282.6421541361801,50,1.3157074451446533,2026-01-19T04:51:06.674638,Isaac Sim RRT,4,9
20,PPO-Continuous+MASAC,42,-465.12273888427376,False,1,0,1,8,1.0,0.0,180.8610366231079,5,0.9305183115539601,1.8610366231079203,-284.26170226116585,50,1.1816809177398682,2026-01-19T04:51:07.879582,Isaac Sim RRT,4,9
1,SAC-Continuous+MASAC,42,-474.92152577166576,False,1,0,1,8,1.0,0.0,181.4276356345291,5,1.213817817264562,2.427635634529124,-293.49389013713665,50,1.2737903594970703,2026-01-19T04:51:10.118725,Isaac Sim RRT,4,9
2,SAC-Continuous+MASAC,42,-517.9933728632287,False,1,0,1,8,1.0,0.0,121.84349151908113,5,1.421745759540563,2.843491519081126,-396.1498813441476,50,7.719202041625977,2026-01-19T04:51:17.870491,Isaac Sim RRT,4,9
