timestep,gat_episode,gat_reward,gat_avg_reward_100,gat_success_rate,gat_episode_length,masac_episode,masac_reward,masac_avg_reward_100,masac_success_rate,masac_episode_length
32,4,209.450631,296.301404,0.962963,6,1,-646.388603273745,-1071.388603273745,0.2222222222222222,50
33,4,216.013246,296.301404,0.962963,7,1,-671.388603273745,-1071.388603273745,0.2222222222222222,50
34,4,243.137613,296.301404,0.962963,8,1,-696.388603273745,-1071.388603273745,0.2222222222222222,50
35,4,303.195531,296.301404,0.962963,9,1,-721.388603273745,-1071.388603273745,0.2222222222222222,50
36,5,54.291555,298.024936,0.972222,1,1,-746.388603273745,-1071.388603273745,0.2222222222222222,50
37,5,52.446342,298.024936,0.972222,2,1,-771.388603273745,-1071.388603273745,0.2222222222222222,50
38,5,52.077883,298.024936,0.972222,3,1,-796.388603273745,-1071.388603273745,0.2222222222222222,50
39,5,108.489993,298.024936,0.972222,4,1,-821.388603273745,-1071.388603273745,0.2222222222222222,50
40,5,83.489993,298.024936,0.972222,5,1,-846.388603273745,-1071.388603273745,0.2222222222222222,50
41,5,98.957139,298.024936,0.972222,6,1,-871.388603273745,-1071.388603273745,0.2222222222222222,50
42,5,111.35219,298.024936,0.972222,7,1,-896.388603273745,-1071.388603273745,0.2222222222222222,50
43,5,120.066749,298.024936,0.972222,8,1,-921.388603273745,-1071.388603273745,0.2222222222222222,50
44,5,95.066749,298.024936,0.972222,9,1,-946.388603273745,-1071.388603273745,0.2222222222222222,50
45,5,151.243013,298.024936,0.972222,10,1,-971.388603273745,-1071.388603273745,0.2222222222222222,50
46,6,54.282556,268.668551,0.955556,1,1,-996.388603273745,-1071.388603273745,0.2222222222222222,50
47,6,97.926592,268.668551,0.955556,2,1,-1021.388603273745,-1071.388603273745,0.2222222222222222,50
48,6,145.870098,268.668551,0.955556,3,1,-1046.388603273745,-1071.388603273745,0.2222222222222222,50
49,6,193.528662,268.668551,0.955556,4,1,-1071.388603273745,-1071.388603273745,0.2222222222222222,50
50,6,241.680127,268.668551,0.955556,5,1,-1071.388603273745,-1071.388603273745,0.2222222222222222,50
51,6,251.311015,268.668551,0.955556,6,2,47.46127887372696,-390.6084307109683,0.6111111111111112,9
52,6,260.945169,268.668551,0.955556,7,2,96.43755048230436,-390.6084307109683,0.6111111111111112,9
53,6,279.898789,268.668551,0.955556,8,2,98.93289448385968,-390.6084307109683,0.6111111111111112,9
54,6,339.522724,268.668551,0.955556,9,2,149.68304904473104,-390.6084307109683,0.6111111111111112,9
55,7,59.865139,280.47758,0.962963,1,2,196.41735284024935,-390.6084307109683,0.6111111111111112,9
56,7,109.174629,280.47758,0.962963,2,2,213.15849010357903,-390.6084307109683,0.6111111111111112,9
57,7,108.463455,280.47758,0.962963,3,2,220.16511724035027,-390.6084307109683,0.6111111111111112,9
58,7,157.011351,280.47758,0.962963,4,2,229.75114242410845,-390.6084307109683,0.6111111111111112,9
59,7,206.353422,280.47758,0.962963,5,2,290.1717418518084,-390.6084307109683,0.6111111111111112,9
60,7,223.588793,280.47758,0.962963,6,3,55.632863990234455,-508.69121073800244,0.7037037037037037,50
61,7,239.125968,280.47758,0.962963,7,3,101.77814842913835,-508.69121073800244,0.7037037037037037,50
